Total Word Count - Unique Word Count : (184384, 49)
god's : (8, 'np$')
suggests : (8, 'vbz')
listeners : (8, 'nns')
surface : (8, 'nn')
wit : (8, 'nn')
scientists : (8, 'nns')
suppose : (8, 'vb')
hydrogen : (8, 'nn')
stalin : (8, 'np')
belly : (8, 'nn')
superb : (8, 'jj')
actor : (8, 'nn')
sonata : (8, 'nn-tl')
op. : (8, 'nn-tl')
roots : (8, 'nns')
praise : (7, 'vb')
departments : (7, 'nns')
practices : (7, 'vbz')
automobile : (7, 'nn')
assistance : (7, 'nn')
suit : (7, 'nn')
attorneys : (7, 'nns')
occupation : (7, 'nn')
birth : (7, 'nn')
ala. : (7, 'np-hl')
petitions : (7, 'vbz')
gubernatorial : (7, 'jj')
$100 : (7, 'nns')
priority : (7, 'nn')
friendly : (7, 'jj')
asking : (7, 'vbg')
formally : (7, 'rb')
defeated : (7, 'vbd')
tom : (7, 'np')
abandoned : (7, 'vbd')
daniel : (7, 'np')
witnesses : (7, 'nns')
recommend : (7, 'vb')
missing : (7, 'vbg')
representing : (7, 'vbg')
destroy : (7, 'vb')
denied : (7, 'vbd')
debate : (7, 'nn')
tea : (7, 'nn')
v. : (7, 'np')
pro : (7, 'in')
extending : (7, 'vbg')
quickly : (7, 'rb')
districts : (7, 'nns-hl')
eliminating : (7, 'vbg')
fill : (7, 'vb')
65 : (7, 'cd')
loan : (7, 'nn-tl')
mission : (7, 'nn-hl')
subjects : (7, 'nns')
succeed : (7, 'vb-tl')
signal : (7, 'nn')
effectively : (7, 'rb')
arrest : (7, 'nn')
replied : (7, 'vbd')
russia's : (7, 'np$')
karns : (7, 'np')
significance : (7, 'nn')
35 : (7, 'cd')
9th : (7, 'od')
retirement : (7, 'nn')
finance : (7, 'nn')
300 : (7, 'cd')
wouldn't : (7, 'md*-hl')
handle : (7, 'vb')
qualified : (7, 'vbn')
matching : (7, 'jj')
capacity : (7, 'nn')
improve : (7, 'vb')
criticized : (7, 'vbn')
voluntary : (7, 'jj')
cabinet : (7, 'nn-tl')
atlantic : (7, 'jj-hl')
climate : (7, 'nn')
genuine : (7, 'jj')
explosion : (7, 'nn-hl')
explanation : (7, 'nn')
firmly : (7, 'ql')
frame : (7, 'vb')
detailed : (7, 'vbn')
spots : (7, 'nns-hl')
core : (7, 'nn')
european : (7, 'jj')
cooperation : (7, 'nn-tl')
count : (7, 'nn-tl')
cease-fire : (7, 'nn')
critical : (7, 'jj')
showing : (7, 'nn')
tendency : (7, 'nn')
raising : (7, 'nn')
constantly : (7, 'rb')
bloc : (7, 'nn')
intervention : (7, 'nn')
opinions : (7, 'nns')
huge : (7, 'jj')
performing : (7, 'vbg')
energy : (7, 'nn-tl')
displayed : (7, 'vbd')
factor : (7, 'nn')
deeply : (7, 'rb')
vitality : (7, 'nn')
crime : (7, 'nn-tl')
stems : (7, 'nns')
raymond : (7, 'np')
cd : (7, 'nn')
rescue : (7, 'nn-tl')
released : (7, 'vbd')
affected : (7, 'vbd')
neighborhood : (7, 'nn')
liberals : (7, 'nns-tl')
pull : (7, 'nn')
philosophy : (7, 'nn')
johnston : (7, 'np')
martinelli : (7, 'np')
posts : (7, 'nns')
chorus : (7, 'nn-tl')
federation : (7, 'nn-tl')
merit : (7, 'nn-tl')
proper : (7, 'jj')
symbol : (7, 'nn')
newark : (7, 'np-tl')
indicate : (7, 'vb')
machines : (7, 'nns')
january : (7, 'np')
conservation : (7, 'nn-hl')
reduction : (7, 'nn')
honest : (7, 'jj')
partner : (7, 'nn')
rapidly : (7, 'rb')
afraid : (7, 'jj')
regarded : (7, 'vbd')
arthur : (7, 'np')
ticket : (7, 'nn')
assumed : (7, 'vbd')
pick : (7, 'vb')
politicians : (7, 'nns')
ethical : (7, 'jj')
worse : (7, 'jjr')
languages : (7, 'nns')
owner : (7, 'nn')
classical : (7, 'jj')
experts : (7, 'nns')
country's : (7, 'nn$')
ease : (7, 'nn-hl')
elementary : (7, 'jj-tl')
seats : (7, 'nns-hl')
mass : (7, 'jj')
dwight : (7, 'np')
ceremonies : (7, 'nns-hl')
historic : (7, 'jj')
buildings : (7, 'nns-hl')
returning : (7, 'vbg')
spectators : (7, 'nns')
respective : (7, 'jj')
admission : (7, 'nn')
reserve : (7, 'nn-tl')
probable : (7, 'jj-hl')
la. : (7, 'np-hl')
transition : (7, 'nn')
dedicated : (7, 'vbn')
dedication : (7, 'nn-tl')
anyway : (7, 'rb')
dilemma : (7, 'nn')
depending : (7, 'in')
engineering : (7, 'vbg')
donald : (7, 'np')
directors : (7, 'nns')
sons : (7, 'nns-tl')
eugene : (7, 'np')
probation : (7, 'nn')
victim : (7, 'nn')
tract : (7, 'nn-tl')
formed : (7, 'vbn')
blast : (7, 'vb')
younger : (7, 'jjr-hl')
flying : (7, 'vbg-tl')
threatening : (7, 'jj')
threatened : (7, 'vbn')
demanded : (7, 'vbn')
solution : (7, 'nn')
structure : (7, 'vb')
goods : (7, 'nns')
salem : (7, 'np-hl')
speak : (7, 'vb')
stronger : (7, 'jjr')
reads : (7, 'vbz')
testament : (7, 'nn-tl')
conduct : (7, 'vb')
christ : (7, 'np-tl')
consecutive : (7, 'jj')
contact : (7, 'nn')
meets : (7, 'vbz-tl')
mature : (7, 'jj')
rookie : (7, 'nn-tl')
triumph : (7, 'nn')
inning : (7, 'nn')
florida : (7, 'np-tl')
champions : (7, 'nns-hl')
yankee : (7, 'np-tl')
damage : (7, 'nn')
substantial : (7, 'jj')
sun : (7, 'nn-tl')
columbus : (7, 'np-tl')
nearby : (7, 'rb')
kicked : (7, 'vbn')
there's : (7, 'ex+bez')
we've : (7, 'ppss+hv')
magnificent : (7, 'jj')
loose : (7, 'vb')
contributed : (7, 'vbn')
45 : (7, 'cd')
rain : (7, 'nn-tl')
louisiana : (7, 'np-tl')
dangerous : (7, 'jj')
charley : (7, 'np-tl')
27 : (7, 'cd')
bases : (7, 'nns')
chances : (7, 'nns')
surely : (7, 'rb')
guy : (7, 'nn-tl')
seasons : (7, 'nns')
arrangement : (7, 'nn')
cincinnati : (7, 'np-tl')
shaw : (7, 'np')
pirates : (7, 'nns-tl')
ben : (7, 'np-tl')
outstanding : (7, 'jj-tl')
patricia : (7, 'np')
potato : (7, 'nn')
stroke : (7, 'vb')
harvey : (7, 'np-hl')
neck : (7, 'nn')
anniversary : (7, 'nn-tl')
sit : (7, 'vb')
benington : (7, 'np')
supposed : (7, 'vbn')
invitation : (7, 'nn-tl')
overcome : (7, 'vbn')
c : (7, 'nn-tl')
ruth's : (7, 'np$')
1927 : (7, 'cd')
occasion : (7, 'nn')
christmas : (7, 'np')
frederick : (7, 'np')
ears : (7, 'nns')
gown : (7, 'nn')
folk : (7, 'nn')
singers : (7, 'nns')
ethics : (7, 'nns-hl')
handsome : (7, 'jj')
entertain : (7, 'vb')
touches : (7, 'vbz')
tells : (7, 'vbz')
francis : (7, 'np')
colorado : (7, 'np-tl')
palace : (7, 'nn')
journey : (7, 'nn-hl')
storm : (7, 'nn')
methodist : (7, 'np')
presbyterian : (7, 'np')
freeman : (7, 'np')
reputation : (7, 'nn')
promises : (7, 'vbz')
brothers : (7, 'nns-hl')
besides : (7, 'rb')
putt : (7, 'vb')
drexel : (7, 'np')
restaurant : (7, 'nn-tl')
sweet : (7, 'jj-tl')
drastic : (7, 'jj')
automatic : (7, 'jj')
occurred : (7, 'vbd')
memory : (7, 'nn')
notes : (7, 'vbz')
kitchen : (7, 'nn')
simpkins : (7, 'np-hl')
compared : (7, 'vbd')
consumer : (7, 'nn')
entrance : (7, 'nn')
agents : (7, 'nns')
testified : (7, 'vbn')
built : (7, 'vbd')
behavior : (7, 'nn')
underwater : (7, 'rb')
ship : (7, 'nn')
potential : (7, 'nn')
broken : (7, 'vbn')
generation : (7, 'nn')
comments : (7, 'nns-hl')
cta : (7, 'np')
relationship : (7, 'nn')
evanston : (7, 'np')
pohl : (7, 'np')
neighbor : (7, 'nn')
spoken : (7, 'vbn-tl')
ambassador : (7, 'nn')
associated : (7, 'vbn-tl')
trustees : (7, 'nns-tl')
desegregation : (7, 'nn')
renewed : (7, 'vbd')
survivors : (7, 'nns')
guest : (7, 'nn')
treat : (7, 'vb')
data : (7, 'nn')
processing : (7, 'nn')
tape : (7, 'nn')
booked : (7, 'vbn')
profession : (7, 'nn')
male : (7, 'jj')
stephen : (7, 'np')
bought : (7, 'vbn')
mistakes : (7, 'nns')
unknown : (7, 'jj')
strip : (7, 'nn-tl')
payments : (7, 'nns-hl')
factories : (7, 'nns')
greek : (7, 'np')
reserved : (7, 'vbd')
corn : (7, 'nn-tl')
maintain : (7, 'vb')
cleaning : (7, 'nn')
sizable : (7, 'jj')
comparison : (7, 'nn')
quarter : (7, 'nn')
gains : (7, 'nns-hl')
fringe : (7, 'nn')
justify : (7, 'vb')
orders : (7, 'nns')
mistake : (7, 'nn')
b : (7, 'np-tl')
taxpayer : (7, 'nn')
applied : (7, 'vbd')
clothes : (7, 'nns')
charming : (7, 'jj')
characters : (7, 'nns')
yellow : (7, 'nn')
liked : (7, 'vbn')
passengers : (7, 'nns')
addresses : (7, 'vbz')
era : (7, 'nn')
instruments : (7, 'nns')
hasn't : (7, 'hvz*')
theatre : (7, 'fw-nn-tl')
performers : (7, 'nns')
ideological : (7, 'jj')
numerous : (7, 'jj')
toys : (7, 'nns-tl')
films : (7, 'nns')
painted : (7, 'vbd')
crucial : (7, 'jj-hl')
desirable : (7, 'jj')
diplomacy : (7, 'nn')
informal : (7, 'jj')
propaganda : (7, 'nn')
inner : (7, 'jj')
pressures : (7, 'nns-hl')
turning : (7, 'nn')
vigorous : (7, 'jj')
phrase : (7, 'vb')
competent : (7, 'jj')
occasional : (7, 'jj')
measures : (7, 'nns')
contrast : (7, 'nn')
putting : (7, 'vbg')
hair : (7, 'nn')
minds : (7, 'nns')
inevitably : (7, 'rb')
stevenson : (7, 'np')
chancellor : (7, 'nn')
happily : (7, 'rb')
journal : (7, 'nn-tl')
criticism : (7, 'nn')
altogether : (7, 'ql')
enjoyment : (7, 'nn')
tragic : (7, 'jj')
clearer : (7, 'jjr-hl')
consideration : (7, 'nn')
grows : (7, 'vbz')
stress : (7, 'vb')
examples : (7, 'nns')
cdc : (7, 'nn')
funny : (7, 'jj')
scenes : (7, 'nns')
morale : (7, 'nn')
connally : (7, 'np-hl')
burma : (7, 'np-tl')
atmospheric : (7, 'jj-hl')
clever : (7, 'jj')
concerto : (7, 'nn-tl')
lucia : (7, 'np')
ensemble : (7, 'fw-nn-tl')
kennan : (7, 'np')
sings : (7, 'vbz-hl')
galaxies : (7, 'nns')
relative : (6, 'jj')
inadequate : (6, 'jj')
governments : (6, 'nns')
orderly : (6, 'jj')
exception : (6, 'nn')
operating : (6, 'vbg')
servants : (6, 'nns')
airport : (6, 'nn-tl')
petition : (6, 'nn')
mental : (6, 'jj')
ridge : (6, 'nn')
rally : (6, 'vb')
newly : (6, 'jj')
warned : (6, 'vbd')
entering : (6, 'vbg')
courses : (6, 'nns')
resigned : (6, 'vbd')
approve : (6, 'vb')
urban : (6, 'jj')
determine : (6, 'vb')
vandiver : (6, 'np')
meanwhile : (6, 'rb')
barber : (6, 'nn-hl')
controversy : (6, 'nn')
polls : (6, 'nns')
liquor : (6, 'nn-tl')
midnight : (6, 'nn')
wasn't : (6, 'bedz*')
termed : (6, 'vbn-hl')
treasurer : (6, 'nn')
deaf : (6, 'jj-tl')
require : (6, 'vb')
older : (6, 'jjr')
savings : (6, 'nns')
saving : (6, 'vbg')
horse : (6, 'nn')
retarded : (6, 'vbn-hl')
penalty : (6, 'nn')
poll : (6, 'nn')
delay : (6, 'vb')
two-thirds : (6, 'ql')
couldn't : (6, 'md*')
intelligent : (6, 'jj')
insisted : (6, 'vbd')
chapman : (6, 'np')
serving : (6, 'nn')
basketball : (6, 'nn-tl')
racial : (6, 'jj')
underlying : (6, 'vbg-hl')
bench : (6, 'nn')
mass. : (6, 'np')
wexler : (6, 'np')
claims : (6, 'vbz')
tied : (6, 'vbn')
aged : (6, 'vbn')
requests : (6, 'vbz')
excess : (6, 'nn-hl')
extended : (6, 'vbd')
absolutely : (6, 'ql')
medicine : (6, 'nn')
doctors : (6, 'nns-tl')
sum : (6, 'nn')
bureau : (6, 'nn-tl')
administrator : (6, 'nn-tl')
morse : (6, 'np')
treaty : (6, 'nn-tl')
circumstances : (6, 'nns')
troubles : (6, 'nns')
tension : (6, 'nn')
positions : (6, 'nns')
canada : (6, 'np-hl')
described : (6, 'vbn')
speeches : (6, 'nns')
analysis : (6, 'nn')
appreciation : (6, 'nn')
eventually : (6, 'rb')
globe : (6, 'nn-tl')
regard : (6, 'vb')
distance : (6, 'nn')
method : (6, 'nn')
neighboring : (6, 'vbg')
lao : (6, 'np-tl')
reforms : (6, 'nns')
invasion : (6, 'nn')
encourage : (6, 'vb')
reform : (6, 'nn')
determination : (6, 'nn')
fleet : (6, 'nn')
asian : (6, 'jj-tl')
souvanna : (6, 'np')
arkansas : (6, 'np')
assist : (6, 'nn')
simultaneously : (6, 'rb')
1948 : (6, 'cd')
apply : (6, 'vb')
vehicle : (6, 'nn')
classes : (6, 'nns')
falls : (6, 'vbz')
copy : (6, 'nn')
activity : (6, 'nn')
operate : (6, 'vb')
shopping : (6, 'nn-tl')
socialist : (6, 'nn-tl')
1955 : (6, 'cd')
correct : (6, 'vb')
strategy : (6, 'nn')
model : (6, 'vb')
false : (6, 'jj')
consent : (6, 'vb-tl')
guilty : (6, 'jj')
draft : (6, 'nn')
authorized : (6, 'vbd')
controversial : (6, 'jj')
plains : (6, 'nns-tl')
intention : (6, 'nn')
surplus : (6, 'nn')
nomination : (6, 'nn')
desperate : (6, 'jj')
orange : (6, 'jj')
michigan : (6, 'np-tl')
you'll : (6, 'ppss+md')
preserve : (6, 'vb')
resentment : (6, 'nn')
mates : (6, 'nns')
brooklyn : (6, 'np-tl')
emphasize : (6, 'vb')
rival : (6, 'jj-tl')
slate : (6, 'nn')
buckley : (6, 'np-hl')
publicly : (6, 'rb')
acceptance : (6, 'nn')
hunter : (6, 'nn')
announce : (6, 'vb')
scandals : (6, 'nns')
newspapers : (6, 'nns')
escape : (6, 'nn-hl')
administration's : (6, 'nn$')
encounter : (6, 'nn-hl')
loans : (6, 'nns')
parochial : (6, 'jj')
mathematics : (6, 'nn')
interview : (6, 'nn')
gay : (6, 'np')
pulled : (6, 'vbn')
commercial : (6, 'nn')
thousand : (6, 'cd')
opposite : (6, 'jj')
johnson : (6, 'np')
developments : (6, 'nns')
badly : (6, 'ql')
loyal : (6, 'jj')
severe : (6, 'jj')
segregation : (6, 'nn')
shortage : (6, 'nn')
perfect : (6, 'jj')
introduction : (6, 'nn')
confronting : (6, 'vbg')
harold : (6, 'np')
sharp : (6, 'jj')
draw : (6, 'nn')
continental : (6, 'jj')
involve : (6, 'vb')
pratt : (6, 'np-tl')
percent : (6, 'nn')
rooms : (6, 'nns')
$1 : (6, 'nns')
backs : (6, 'vbz')
parks : (6, 'nns-hl')
feature : (6, 'nn')
bridges : (6, 'vbz')
fighters : (6, 'nns-tl')
teamsters : (6, 'nns-tl')
sets : (6, 'vbz')
knocked : (6, 'vbn')
containing : (6, 'vbg')
critic : (6, 'nn')
multnomah : (6, 'np')
ours : (6, 'pp$$')
please : (6, 'vb')
mothers : (6, 'nns')
temple : (6, 'np')
speakers : (6, 'nns')
oak : (6, 'nn-tl-hl')
lodge : (6, 'vb')
strengthen : (6, 'vb')
trends : (6, 'nns-tl')
stressed : (6, 'vbn')
includes : (6, 'vbz')
engaging : (6, 'jj')
centers : (6, 'nns-hl')
volunteers : (6, 'nns')
powell : (6, 'np')
striking : (6, 'nn')
singled : (6, 'vbd')
brooks : (6, 'np')
fence : (6, 'nn')
strongest : (6, 'jjt')
balls : (6, 'nns')
gentile : (6, 'np')
threw : (6, 'vbd')
error : (6, 'nn-hl')
squad : (6, 'nn-tl')
camp : (6, 'vb')
n.y. : (6, 'np')
stengel : (6, 'np')
promising : (6, 'vbg')
tired : (6, 'vbn')
slender : (6, 'jj')
nelson : (6, 'np')
kelsey : (6, 'np')
gene : (6, 'np')
tech : (6, 'np')
buffalo : (6, 'nn')
tough : (6, 'jj')
countless : (6, 'jj')
infield : (6, 'nn')
moore : (6, 'np')
anybody : (6, 'pn')
liston : (6, 'np')
hearts : (6, 'nns-tl')
player's : (6, 'nn$')
fan : (6, 'nn')
forever : (6, 'rb-tl')
arise : (6, 'vb')
mantle's : (6, 'nn$')
refused : (6, 'vbn')
sutherland : (6, 'np')
1949 : (6, 'cd')
chapter : (6, 'nn')
owned : (6, 'vbn')
illustrated : (6, 'vbn')
respects : (6, 'vbz')
evil : (6, 'nn')
palmer's : (6, 'np$')
dates : (6, 'vbz')
gibson : (6, 'np-tl')
larry : (6, 'np')
trio : (6, 'nn-tl')
recalled : (6, 'vbn')
thank : (6, 'vb')
notre : (6, 'np-tl')
dame : (6, 'np-tl')
busy : (6, 'jj')
intended : (6, 'vbd')
thin : (6, 'jj')
wendell : (6, 'np')
sister : (6, 'nn')
exciting : (6, 'jj')
adds : (6, 'vbz')
supper : (6, 'nn')
oriental : (6, 'jj')
activities : (6, 'nns')
japan : (6, 'np')
rome : (6, 'np')
phoenix : (6, 'np-tl')
she's : (6, 'pps+hvz')
appearances : (6, 'nns')
studio : (6, 'nn-tl')
carnegie : (6, 'np-tl')
flower : (6, 'np')
typical : (6, 'jj')
confident : (6, 'jj')
via : (6, 'in')
peasants : (6, 'nns')
nobel : (6, 'np')
everywhere : (6, 'nn')
roles : (6, 'nns')
import : (6, 'vb')
gala : (6, 'jj-tl')
santa : (6, 'np-hl')
dining : (6, 'nn-tl')
glass : (6, 'nn-tl')
marr : (6, 'np')
covers : (6, 'nns')
80 : (6, 'cd')
vacation : (6, 'nn')
forth : (6, 'rb')
magic : (6, 'nn')
elegant : (6, 'jj-tl')
pink : (6, 'jj')
chairs : (6, 'nns')
baker : (6, 'np')
seated : (6, 'vbd')
fun : (6, 'nn')
colorful : (6, 'jj')
phase : (6, 'nn-tl')
household : (6, 'nn')
duties : (6, 'nns')
models : (6, 'nns')
carnival : (6, 'nn')
clayton : (6, 'np-tl')
eleanor : (6, 'np')
cuts : (6, 'vbz')
mount : (6, 'vb')
register : (6, 'nn')
annapolis : (6, 'np-tl')
burns : (6, 'vbz')
mile : (6, 'nn')
permanent : (6, 'jj')
resumed : (6, 'vbn')
trained : (6, 'vbn')
victims : (6, 'nns')
detectives : (6, 'nns')
bedroom : (6, 'nn')
lloyd : (6, 'np-tl')
encouraged : (6, 'vbn')
submarine : (6, 'nn')
dreadnought : (6, 'np')
navy's : (6, 'nn$-tl')
roll : (6, 'vb-tl')
uncle : (6, 'np')
selling : (6, 'jj')
warfare : (6, 'nn')
detail : (6, 'vb')
narcotics : (6, 'nns')
convicted : (6, 'vbn')
murder : (6, 'vb')
seldom : (6, 'rb')
revealed : (6, 'vbn')
sympathy : (6, 'nn')
patrol : (6, 'nn-tl')
massive : (6, 'jj')
commander : (6, 'nn-hl')
grade : (6, 'nn')
excellence : (6, 'nn')
generous : (6, 'jj')
applications : (6, 'nns')
pole : (6, 'nn')
daughters : (6, 'nns')
rock : (6, 'vb-tl')
attacked : (6, 'vbn')
consultant : (6, 'nn')
defend : (6, 'vb')
murray : (6, 'np-tl')
beatrice : (6, 'np')
jimmy : (6, 'np')
scottish : (6, 'jj')
69 : (6, 'cd')
onto : (6, 'in')
valued : (6, 'vbn')
raw : (6, 'jj')
collections : (6, 'nns')
represented : (6, 'vbn')
complaint : (6, 'nn')
buchheister : (6, 'np')
scientific : (6, 'jj')
occasionally : (6, 'rb')
alive : (6, 'jj')
sat : (6, 'vbd')
beautifully : (6, 'rb')
controlled : (6, 'vbd')
managed : (6, 'vbn')
disarmament : (6, 'nn-tl')
aware : (6, 'jj')
scrutiny : (6, 'nn')
leavitt : (6, 'np')
bonn : (6, 'np-hl')
trading : (6, 'vbg')
qualify : (6, 'vb')
kinds : (6, 'nns')
chip : (6, 'nn')
depression : (6, 'nn')
survival : (6, 'nn-tl')
reaching : (6, 'vbg')
appropriations : (6, 'nns-tl')
lesson : (6, 'nn-hl')
heritage : (6, 'nn-tl')
standing : (6, 'vbg')
accompanied : (6, 'vbn')
japanese : (6, 'np')
debentures : (6, 'nns')
surrender : (6, 'vb')
consisted : (6, 'vbd')
fundamental : (6, 'jj-tl')
railroads : (6, 'nns-tl')
outlook : (6, 'nn')
buying : (6, 'nn')
one's : (6, 'pn$')
hat : (6, 'nn-tl')
designer : (6, 'nn')
shoes : (6, 'nns')
heels : (6, 'nns')
dignity : (6, 'nn')
resist : (6, 'vb')
label : (6, 'vb')
tall : (6, 'jj')
grow : (6, 'vb')
stars : (6, 'nns-hl')
judy : (6, 'np')
flexible : (6, 'jj-hl')
delight : (6, 'vb')
substantially : (6, 'ql')
personality : (6, 'nn')
retains : (6, 'vbz')
kern : (6, 'np')
pleasure : (6, 'nn-hl')
aspect : (6, 'nn')
exclusively : (6, 'ql')
scenery : (6, 'nn')
adventures : (6, 'nns-tl')
begun : (6, 'vbn')
literature : (6, 'nn')
calm : (6, 'nn')
secure : (6, 'jj')
match : (6, 'nn')
people's : (6, 'nns$-tl')
poet : (6, 'nn')
jurisdiction : (6, 'nn-tl')
colors : (6, 'vbz')
nikita : (6, 'np')
delicate : (6, 'jj')
briefly : (6, 'rb')
grave : (6, 'nn')
scheme : (6, 'nn')
conclusions : (6, 'nns')
useful : (6, 'jj')
electrical : (6, 'jj')
organizations : (6, 'nns-tl')
agricultural : (6, 'jj')
necessity : (6, 'nn')
colmer : (6, 'np')
whites : (6, 'nns')
purple : (6, 'jj-hl')
humphrey : (6, 'np')
holes : (6, 'nns')
augusta : (6, 'np-tl')
prestige : (6, 'nn')
accurate : (6, 'jj')
answered : (6, 'vbd')
primarily : (6, 'rb')
recalls : (6, 'vbz')
surprising : (6, 'vbg')
experiment : (6, 'vb')
drivers : (6, 'nns')
admit : (6, 'vb')
conant : (6, 'np')
scholars : (6, 'nns')
repeal : (6, 'nn-hl')
soviets : (6, 'nps-hl')
wars : (6, 'nns')
dekalb : (6, 'np-hl')
observed : (6, 'vbd')
sounds : (6, 'nns')
helpful : (6, 'jj-hl')
revolution : (6, 'nn-tl')
excuse : (6, 'nn')
contrary : (6, 'jj')
realism : (6, 'nn')
courage : (6, 'nn')
necessarily : (6, 'rb')
coexistence : (6, 'nn')
holding : (6, 'vbg')
germans : (6, 'nps')
amusing : (6, 'jj')
document : (6, 'nn')
bear : (6, 'vb')
unto : (6, 'in-hl')
resume : (6, 'vb')
objects : (6, 'nns')
experiences : (6, 'nns')
reality : (6, 'nn')
imports : (6, 'vbz')
curtain : (6, 'nn-tl')
volumes : (6, 'nns-tl')
socialism : (6, 'nn-hl')
joy : (6, 'nn')
escalation : (6, 'nn-hl')
sphere : (6, 'nn')
lenin : (6, 'np')
taiwan : (6, 'np')
odd : (6, 'jj')
shakespeare : (6, 'np-tl')
molotov : (6, 'np-tl')
soloist : (6, 'nn')
booking : (6, 'nn')
baroque : (6, 'jj-tl')
thurber : (6, 'np')
rodgers : (6, 'np-tl')
negro-appeal : (6, 'jj')
schwarzkopf : (6, 'np')
over-all : (5, 'jj')
deserves : (5, 'vbz')
widespread : (5, 'jj')
improving : (5, 'vbg')
purchasing : (5, 'vbg-tl')
merger : (5, 'nn-hl')
offices : (5, 'nns')
experienced : (5, 'vbd')
enabling : (5, 'vbg')
fit : (5, 'vbn')
compensation : (5, 'nn')
protected : (5, 'vbn-hl')
protect : (5, 'vb')
elaborate : (5, 'jj')
keeping : (5, 'vbg')
deputies : (5, 'nns-hl')
doctor : (5, 'nn-tl')
pension : (5, 'nn')
praised : (5, 'vbn')
grady : (5, 'np')
hartsfield : (5, 'np')
pelham : (5, 'np')
succeeded : (5, 'vbd')
enthusiastic : (5, 'jj')
signatures : (5, 'nns')
warning : (5, 'vbg')
alternative : (5, 'nn')
resignation : (5, 'nn')
item : (5, 'nn')
constitution : (5, 'nn')
consulted : (5, 'vbn-hl')
13th : (5, 'od')
specifically : (5, 'rb')
carey : (5, 'np-hl')
smell : (5, 'nn')
marked : (5, 'vbd')
anonymous : (5, 'jj')
phone : (5, 'nn-hl')
gun : (5, 'vb')
sheriff : (5, 'nn-tl')
promise : (5, 'vb')
taxation : (5, 'nn-tl')
appearing : (5, 'vbg')
banks : (5, 'nns-tl')
enforced : (5, 'vbn')
parkhouse : (5, 'np')
calendar : (5, 'nn')
creation : (5, 'nn')
mentally : (5, 'rb')
site : (5, 'nn')
utility : (5, 'nn')
elections : (5, 'nns')
composed : (5, 'vbn')
printed : (5, 'vbd')
collins : (5, 'np')
earned : (5, 'vbd')
captain : (5, 'nn-tl')
associate : (5, 'vb')
border : (5, 'nn')
patrolman : (5, 'nn-tl')
discrimination : (5, 'nn')
dependent : (5, 'jj')
breakdown : (5, 'nn')
bellows : (5, 'np')
observers : (5, 'nns')
viewed : (5, 'vbd')
policemen : (5, 'nns-tl')
strongly : (5, 'rb')
yes : (5, 'rb-nc')
deliver : (5, 'vb')
talked : (5, 'vbn')
port : (5, 'nn-tl')
pierre : (5, 'np-tl')
minute : (5, 'jj')
unable : (5, 'jj')
proceedings : (5, 'nns')
hearings : (5, 'nns')
precinct : (5, 'nn')
procedure : (5, 'nn')
privately : (5, 'rb')
function : (5, 'nn')
covered : (5, 'vbd')
systems : (5, 'nns')
afford : (5, 'vb')
scholarship : (5, 'nn')
existing : (5, 'vbg')
persuade : (5, 'vb')
tex. : (5, 'np-hl')
mighty : (5, 'jj-tl')
fate : (5, 'nn')
confirmed : (5, 'vbd')
selections : (5, 'nns')
oslo : (5, 'np-hl')
element : (5, 'nn')
mutual : (5, 'jj')
meetings : (5, 'nns')
remarkably : (5, 'rb')
alliance : (5, 'nn-tl')
fixed : (5, 'vbn')
submarines : (5, 'nns')
deterrent : (5, 'nn-hl')
ally : (5, 'nn')
mainly : (5, 'ql')
insist : (5, 'vb')
harvard : (5, 'np-tl')
channels : (5, 'nns')
ban : (5, 'vb')
territory : (5, 'nn')
seato : (5, 'nn')
losses : (5, 'nns')
unlike : (5, 'in')
removal : (5, 'nn')
doubled : (5, 'vbn')
locally : (5, 'rb')
notte : (5, 'np')
advised : (5, 'vbd')
limit : (5, 'vb')
types : (5, 'nns')
reama : (5, 'np')
resources : (5, 'nns')
profit : (5, 'vb')
happens : (5, 'vbz')
handled : (5, 'vbd')
sewer : (5, 'nn')
ordinance : (5, 'nn')
motorists : (5, 'nns')
michael : (5, 'np')
remark : (5, 'nn')
beating : (5, 'vbg')
applause : (5, 'nn')
uses : (5, 'nns')
blame : (5, 'vb')
unhappy : (5, 'jj')
demonstrate : (5, 'vb')
sees : (5, 'vbz-hl')
sandman : (5, 'np')
gathering : (5, 'vbg')
image : (5, 'nn')
sheets : (5, 'nns')
represents : (5, 'vbz')
basically : (5, 'rb')
techniques : (5, 'nns')
expanded : (5, 'vbd')
co-operation : (5, 'nn')
forward : (5, 'rb')
attraction : (5, 'nn')
1950 : (5, 'cd')
changing : (5, 'vbg-tl')
internal : (5, 'jj')
bronx : (5, 'np')
successor : (5, 'nn')
declined : (5, 'vbd')
campus : (5, 'nn-hl')
published : (5, 'vbn')
definite : (5, 'jj')
corruption : (5, 'nn')
scientist : (5, 'nn')
edwin : (5, 'np')
depends : (5, 'vbz')
gordon : (5, 'np')
confusion : (5, 'nn')
discovered : (5, 'vbn')
worry : (5, 'nn')
pays : (5, 'vbz')
twenty : (5, 'cd')
estimates : (5, 'vbz')
puts : (5, 'vbz')
india : (5, 'np')
kingdom : (5, 'nn-tl')
maurice : (5, 'np')
princess : (5, 'nn')
guide : (5, 'nn')
promotion : (5, 'nn')
publishing : (5, 'vbg-tl')
